"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Foreign direct investment, net outflows (% of GDP)","BM.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0.37372471423221","0.0729748637751004","63.6621894433163","20.304669453107","1.03729603729476","0.63434760185771","0.121076233186413","0.126903553297124","0.0647773279352227","0.0145878920495988","1.87856424018786","-0.103761348897535","0.140172979421414","-0.19440353460972","-0.313211845102505","-0.158513254987701","-0.361744301288405","-0.375609072855025","-0.519171451615369","1.47715418318381","0.0982511298879939","0.0590680376285278","0.111566484517304","0.118593816179585","0.10681478316599","0.162020643047307","0.31759693755004","0.354854260935143","-0.0140340929926646","2.69003300415348","0.948415439363641","1.77377236491926","0.767927894570165","-0.155331897415867",
"Africa Eastern and Southern","AFE","Foreign direct investment, net outflows (% of GDP)","BM.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","0.106420089031382","0.312747607212241","0.0182308496918137","0.605584163052944","0.468353687093198","0.00662905499843099","0.126685810508675","0.159551440970066","0.0573610519673886","0.0661763769700202","0.120929052468614","0.0303749626941999","0.0934724667768844","0.0286797653341492","0.107682685595157","0.94211466095072","0.180444889826327","0.627923293422737","1.111124423055","0.467139443122079","0.966977773196643","0.679214412691313","0.678439840600416","0.11839606100373","-1.49466427026734","-0.108173293552561","0.25602850668663","0.509107979004804","0.273396937263949","1.23454058909333","0.667555721043854","0.098680281384616","0.274459802696609","0.403435732951089","0.307065794394699","0.528942477561831","1.1594018528646","1.05870144478585","0.802633155358564","0.874440334075758","1.33643899946858","0.537286349232699","0.220475359953154","-0.233142869790347","-0.0413492810222333",
"Afghanistan","AFG","Foreign direct investment, net outflows (% of GDP)","BM.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","0.0220288535136994","-0.0134078460082199","0.0240917442557482","","","-0.0187129724538008","0.00203302652846903","-0.00798297889928393","0.00625130130348674","-0.0438578431728608","0.00261284918857531","-9.32027619522648E-05","0.0108162625850345","0.0777269143301371","0.0595921146668425","0.210673876085518","0.139231718023567","0.184816864051446","0.208231879440378",
"Africa Western and Central","AFW","Foreign direct investment, net outflows (% of GDP)","BM.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","0.0570241248234985","0.0144423205453587","0.0309224794040643","0.00212008593174688","0.0160814185625353","0.00432177916674235","0.0129261726503134","0.0206487936708658","0.0224406116823986","0.0326006160884672","0.0220374761563455","0.056025220012603","0.833191925636436","0.341671775410753","0.285352796349124","0.315994818864381","0.492791400185212","0.14473775188468","0.270124629456041","0.623430799390763","0.257412174510747","-0.145878777771549","0.0853355303851772","0.751853978201148","-0.263225908412041","-0.0106025186801685","0.0783521915212174","0.231438634619635","0.321774276225575","0.218844599338044","0.232442924784835","0.160619840727019","0.269726915475507","0.628777547440369","0.371500372052318","0.631783558896236","0.403333289099898","0.460915205805377","0.38754739972147","0.369415175034391","0.181052997608263","0.0555021127233718","0.234699360135431","0.164931580216736","0.389704364421535",
"Angola","AGO","Foreign direct investment, net outflows (% of GDP)","BM.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0.00801512902751762","0","0.00227377224398265","0.0346697335600907","-0.0450620852381655","-0.0180546176233575","-0.165030816679083","0.0519511418635439","0","-0.00143484650820667","0","0","0.654936894008732","0.538379774105678","3.32555379045534","0.593336776141396","0.363843876298165","1.39701397330902","2.90228630256028","0.00960517238065874","1.64068194166603","1.91219672514388","0.709190744403158","0.690821033806576","0.646140901869664","-0.899881348699368","0.547757442887472","1.9602012051233","0.00734535441945232","-3.38977925181097","0.168810207045683","-1.56869930879443",
"Albania","ALB","Foreign direct investment, net outflows (% of GDP)","BM.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.189345822209065","0.0504407207302106","0.118029608071179","0.045988300531977","2.84081748460942","3.27670004352576","0.388922861174565","1.56771151892709","0.675159004371094","0.222675719374154","0.571867614426769","0.696510055396961","0.0593427941525096","-0.815504361822346","-0.0297783532738953","0.259559184787758","0.331077483402973","0.273565683666411",
"Andorra","AND","Foreign direct investment, net outflows (% of GDP)","BM.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Foreign direct investment, net outflows (% of GDP)","BM.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","0.0708670235010353","0.082929182888201","-0.0572213351657444","0.176400739506762","-0.0277007512293787","0.113283862319439","0.0713896284879323","0.062776255977692","0.0344132352967963","0.107933349999023","0.237615415095436","0.644628088504219","0.495480670493576","-0.0146733772219659","0.016953464019919","0.298690444126972","0.069201787520305","-0.0387638203775438","-0.105229896491543","0.459155965048801","0.0331989503656463","-0.149854529476904","0.177577424873247","0.301457560195108","-0.0953524248237236","0.396098039820104","-0.202473147845216","0.780715949140779","0.899526971656425","1.48604645905689","2.09278791121399","1.95709381698418","0.961101177991975","0.937012933977538","1.31013357007458","0.805121485655286","1.57609821417788","1.44695612272973","1.53678716677744","1.72302386659191","1.43703101886853","1.63552394827067","1.62292232137571","1.23105219060904","1.75815023725106",
"United Arab Emirates","ARE","Foreign direct investment, net outflows (% of GDP)","BM.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","-0.00458728764275727","0.00608106988840604","0.0171590165466953","0.00700880157320962","0.0239188933846765","0.0272625656483469","-0.0687186892038971","-0.0305316777845907","0.191892168040896","0.00889199822340328","-0.11370759161456","0.0202548726594204","0.0280170206717827","0.0552977437370715","0.972936474388059","0.0950158041884025","0.174814834703828","0.293169184087997","0.168220923304332","0.375516182475913","0.406054970149591","0.206851125310942","0.401686089742933","0.797088437337462","1.49366440406348","2.07637724205889","4.90362537280514","5.6482442406369","5.01476163553162","1.07392165844339","0.695337214048568","0.621103738999666","0.659371873443996","2.20587934300986","2.83403716591593","4.50788706573709","4.25488784689004","3.60034340530092","3.5310413419837","5.07815310625815","5.41882459280636","5.43247631731541",
"Argentina","ARG","Foreign direct investment, net outflows (% of GDP)","BM.KLT.DINV.WD.GD.ZS","","","","","","","","","","","0.00575287423358278","","0.00481674452010613","","0.00330771189429447","0.0085566660808662","0.00301351372057457","-0.00176115249505951","-0.0395985941088929","-0.0851956907343826","-0.142927820216764","-0.135999357347732","-0.035584028329655","0.0019234633398725","0.0550738365442865","0.0478971307410063","0.0100958632153209","0.0433197755333271","-0.0179682122596959","0.0840333662374383","0.0246921834542787","0.026030833857814","0.509603281081135","0.29782246020955","0.393429148539466","0.58021890716937","0.588186834637915","1.24729579763641","0.777886139156192","0.610279589310215","0.317035999467937","0.0598729562211523","-0.641746114274746","0.606472572254758","0.410542023782955","0.659695664726798","1.04865387216475","0.523155949452163","0.384705758443082","0.213692689034262","0.227738014604063","0.280668249144006","0.193202129776027","0.161219624584565","0.364900179293754","0.147160030086657","0.320435945124207","0.179549215304451","0.328871311720677","0.340080955158105","0.335237959463101","0.279647631437025",
