,LOCATION,TIME,HOUSESPEND
110,BEL,1976,33545.1489237133
111,BEL,1977,36667.1333833614
112,BEL,1978,40197.4461778092
113,BEL,1979,46014.6888272179
114,BEL,1980,50555.602952024
115,BEL,1981,55314.8837129993
116,BEL,1982,59811.1813145227
117,BEL,1983,62261.7383871896
118,BEL,1984,64851.6776791297
119,BEL,1985,68931.8300696676
120,BEL,1986,72346.5338687321
121,BEL,1987,75871.1648777113
122,BEL,1988,81451.9733681545
123,BEL,1989,87820.6974286221
124,BEL,1990,94586.6924902681
125,BEL,1991,100701.401414585
126,BEL,1992,105358.542348948
127,BEL,1993,107498.720378881
128,BEL,1994,112370.121635901
129,BEL,1995,116544.355878779
130,BEL,1996,120033.782071376
131,BEL,1997,123455.461384913
132,BEL,1998,126597.613636032
133,BEL,1999,130953.821839877
134,BEL,2000,145011.11512461
135,BEL,2001,149756.922782565
136,BEL,2002,154595.415438556
137,BEL,2003,155342.919959013
138,BEL,2004,161816.595792588
139,BEL,2005,168463.132583311
140,BEL,2006,176459.047487155
141,BEL,2007,184296.19909058
142,BEL,2008,194581.594589707
143,BEL,2009,197019.418936561
144,BEL,2010,208903.984576077
145,BEL,2011,220029.938669796
146,BEL,2012,227142.109252114
147,BEL,2013,236572.936466063
148,BEL,2014,242820.828952902
149,BEL,2015,247220.120938205
150,BEL,2016,258303.999159179
151,BEL,2017,267251.809930942
152,BEL,2018,281506.127952642
153,BEL,2019,296378.488856273
154,BEL,2020,276223.455008936
155,BEL,2021,296767.045455136
156,CAN,1970,50424.7989499984
157,CAN,1971,55600.4013126028
158,CAN,1972,61441.0616286602
159,CAN,1973,69108.3472940573
160,CAN,1974,80115.4847420417
161,CAN,1975,90108.421545297
162,CAN,1976,99925.5509528
163,CAN,1977,109382.826249893
164,CAN,1978,120484.005155217
165,CAN,1979,134190.697560765
166,CAN,1980,151179.167266741
167,CAN,1981,166694.840009359
168,CAN,1982,171441.165660722
169,CAN,1983,183195.754930612
170,CAN,1984,197412.000875839
171,CAN,1985,214310.180936306
172,CAN,1986,226466.740392412
173,CAN,1987,242496.143344272
174,CAN,1988,262364.757605734
175,CAN,1989,283161.507609277
176,CAN,1990,299646.311513836
177,CAN,1991,306215.049749978
178,CAN,1992,319227.996610176
179,CAN,1993,333258.488403064
180,CAN,1994,350047.706518008
181,CAN,1995,365439.398507176
182,CAN,1996,384337.104068328
183,CAN,1997,410142.816179805
184,CAN,1998,424721.951675095
185,CAN,1999,447870.18896543
186,CAN,2000,474922.804799333
187,CAN,2001,496094.988298039
188,CAN,2002,519495.273337598
189,CAN,2003,543755.480068231
190,CAN,2004,574310.431354598
191,CAN,2005,612701.648832915
192,CAN,2006,632991.918286656
193,CAN,2007,677883.833221379
194,CAN,2008,693187.076349211
195,CAN,2009,695027.155733998
196,CAN,2010,732843.023724582
197,CAN,2011,772039.729143443
198,CAN,2012,797099.329246715
199,CAN,2013,816927.583380066
200,CAN,2014,848851.881804076
201,CAN,2015,858520.398058886
202,CAN,2016,910727.610048363
203,CAN,2017,955798.708603899
204,CAN,2018,1005492.25755454
205,CAN,2019,1006629.33825752
206,CAN,2020,958567.815913383
207,CAN,2021,1029332.16462732
240,DNK,1970,10899.8194099004
241,DNK,1971,11458.0461473944
242,DNK,1972,11855.0624514897
243,DNK,1973,13438.7390452411
244,DNK,1974,14501.331508033
245,DNK,1975,16203.8054051125
246,DNK,1976,18396.1917794196
247,DNK,1977,19981.4409490655
248,DNK,1978,21741.2748144177
249,DNK,1979,23917.1163603058
250,DNK,1980,25899.9102801134
251,DNK,1981,27865.7144960355
252,DNK,1982,29827.733428697
253,DNK,1983,31691.2791358554
254,DNK,1984,34044.9383697245
255,DNK,1985,36814.2699350075
256,DNK,1986,40297.0824654105
257,DNK,1987,40748.7048407027
258,DNK,1988,41565.1527525494
259,DNK,1989,43518.2314114136
260,DNK,1990,45792.6946462652
261,DNK,1991,48091.5902915474
262,DNK,1992,50640.1880533501
263,DNK,1993,51454.7914820896
264,DNK,1994,56025.9466717647
265,DNK,1995,58165.948177082
266,DNK,1996,60770.8400288301
267,DNK,1997,64117.0278558403
268,DNK,1998,67226.4322454758
269,DNK,1999,67515.8466450659
270,DNK,2000,70097.188038355
271,DNK,2001,70031.8010194734
272,DNK,2002,72884.9863277885
273,DNK,2003,73889.3613171172
274,DNK,2004,80046.9431426344
275,DNK,2005,83602.9452699058
276,DNK,2006,90022.4118221109
277,DNK,2007,95375.5026806661
278,DNK,2008,99905.1445809765
279,DNK,2009,98742.2429449325
280,DNK,2010,102849.929910408
281,DNK,2011,105845.161621776
282,DNK,2012,108274.656494427
283,DNK,2013,111400.438527017
284,DNK,2014,112810.638015563
285,DNK,2015,115716.205962065
286,DNK,2016,119997.923647227
287,DNK,2017,127318.234066048
288,DNK,2018,136117.668922864
289,DNK,2019,140431.846775082
290,DNK,2020,139161.221882375
291,DNK,2021,146594.10255115
292,FIN,1970,7030.23347494137
293,FIN,1971,7456.12748149322
294,FIN,1972,8352.97062814437
295,FIN,1973,9322.07497865483
296,FIN,1974,10472.5084073661
297,FIN,1975,11696.2670061814
298,FIN,1976,12570.6325006075
299,FIN,1977,13309.7459814362
300,FIN,1978,14567.5592203582
301,FIN,1979,16785.2175141225
302,FIN,1980,19060.5547548539
303,FIN,1981,21072.3631233214
304,FIN,1982,23385.4767202321
305,FIN,1983,25137.9731480214
306,FIN,1984,26947.8044274882
307,FIN,1985,29025.3139730501
308,FIN,1986,30880.3675776844
309,FIN,1987,33326.9192235051
310,FIN,1988,36553.4828435305
311,FIN,1989,39932.0048775816
312,FIN,1990,41562.7705046119
313,FIN,1991,41653.4369989981
314,FIN,1992,40974.1279402999
315,FIN,1993,40875.7828586202
316,FIN,1994,42814.031744047
317,FIN,1995,45869.1187669092
318,FIN,1996,48409.1365681579
319,FIN,1997,51275.6252105458
320,FIN,1998,54543.1561884158
321,FIN,1999,57386.7536162956
322,FIN,2000,60855.1354678424
323,FIN,2001,62815.1318983918
324,FIN,2002,65694.608110707
325,FIN,2003,68781.3111334535
326,FIN,2004,73717.2169174263
327,FIN,2005,76540.4648457503
328,FIN,2006,82475.8331632609
329,FIN,2007,89884.1105767304
330,FIN,2008,96563.11763604
331,FIN,2009,96195.8357815068
332,FIN,2010,101165.664356762
333,FIN,2011,108080.914905294
334,FIN,2012,109700.352495116
335,FIN,2013,112653.809889666
336,FIN,2014,115286.889938061
337,FIN,2015,117573.052804421
338,FIN,2016,124395.068835941
339,FIN,2017,128193.184291024
340,FIN,2018,133594.975799266
341,FIN,2019,138380.257337274
342,FIN,2020,132769.205788218
343,FIN,2021,138181.99282487
344,FRA,1970,99481.1404863764
345,FRA,1971,109500.710351297
346,FRA,1972,118962.78129529
347,FRA,1973,132427.749240663
348,FRA,1974,150248.466238182
349,FRA,1975,165951.695100938
350,FRA,1976,184599.126090228
351,FRA,1977,201633.635059143
352,FRA,1978,224038.58183611
353,FRA,1979,252214.104643038
354,FRA,1980,282701.728871834
355,FRA,1981,314114.700502445
356,FRA,1982,342370.435756095
357,FRA,1983,359893.14586228
358,FRA,1984,375911.17853735
359,FRA,1985,396281.575741138
360,FRA,1986,419718.972482131
361,FRA,1987,446836.620646452
362,FRA,1988,479719.336342566
363,FRA,1989,516598.909139446
364,FRA,1990,553300.913894013
365,FRA,1991,575535.226493709
366,FRA,1992,597521.68505826
367,FRA,1993,612048.683117825
368,FRA,1994,635286.756851327
369,FRA,1995,659833.828985249
370,FRA,1996,688501.496213761
371,FRA,1997,708466.872884558
372,FRA,1998,743612.745359167
373,FRA,1999,777483.143811686
374,FRA,2000,851214.536509416
375,FRA,2001,913437.376064625
376,FRA,2002,946390.015565624
377,FRA,2003,941655.329798442
378,FRA,2004,976629.737999056
379,FRA,2005,1033830.04051413
380,FRA,2006,1080612.60083592
381,FRA,2007,1134402.83882315
382,FRA,2008,1172903.7808501
383,FRA,2009,1180054.76842626
384,FRA,2010,1230847.25295425
385,FRA,2011,1282183.90742742
386,FRA,2012,1289329.16162096
387,FRA,2013,1343342.46673186
388,FRA,2014,1358427.67619988
389,FRA,2015,1362675.1061653
390,FRA,2016,1431052.38723192
391,FRA,2017,1462726.08529153
392,FRA,2018,1514654.58352484
393,FRA,2019,1596799.25960683
394,FRA,2020,1503215.00075333
395,FRA,2021,1605984.900708
396,DEU,1970,166045.351536171
397,DEU,1971,182586.89593581
398,DEU,1972,198987.121006693
399,DEU,1973,215722.7524717
400,DEU,1974,237747.824932988
401,DEU,1975,267171.243243563
402,DEU,1976,293911.498147857
403,DEU,1977,326338.893094925
404,DEU,1978,361565.676763949
405,DEU,1979,406530.779225753
406,DEU,1980,457107.052642751
407,DEU,1981,496201.775227332
408,DEU,1982,518495.716004108
409,DEU,1983,548155.655628798
410,DEU,1984,579965.202153285
411,DEU,1985,611313.951565999
412,DEU,1986,648489.236400218
413,DEU,1987,692297.091359857
414,DEU,1988,738469.257175667
415,DEU,1989,794124.27988972
416,DEU,1990,863974.278393589
417,DEU,1991,931809.914430646
418,DEU,1992,984667.456900564
419,DEU,1993,1009943.03283431
420,DEU,1994,1045547.64484576
421,DEU,1995,1084089.68609123
422,DEU,1996,1120579.55202048
423,DEU,1997,1143265.2512045
424,DEU,1998,1164861.64662511
425,DEU,1999,1222552.23297799
426,DEU,2000,1260022.61595652
427,DEU,2001,1311215.64844525
428,DEU,2002,1315861.55733986
429,DEU,2003,1345290.43631032
430,DEU,2004,1397654.27627114
431,DEU,2005,1424914.19758787
432,DEU,2006,1479250.27003733
433,DEU,2007,1515650.2674941
434,DEU,2008,1575509.22681636
435,DEU,2009,1595864.24232511
436,DEU,2010,1657995.56994272
437,DEU,2011,1763719.47208286
438,DEU,2012,1814060.41417159
439,DEU,2013,1854903.88691303
440,DEU,2014,1908128.62484275
441,DEU,2015,1924533.67104066
442,DEU,2016,2049246.21753106
443,DEU,2017,2130270.76092795
444,DEU,2018,2246100.18567069
445,DEU,2019,2337883.21059122
446,DEU,2020,2209000.30020448
447,DEU,2021,2248593.14646152
448,GRC,1970,12958.1822993441
449,GRC,1971,14239.2663876924
450,GRC,1972,15609.650588816
451,GRC,1973,17453.2738798153
452,GRC,1974,19076.8078793021
453,GRC,1975,22211.2301144374
454,GRC,1976,24766.9293402424
455,GRC,1977,28700.5975164869
456,GRC,1978,33126.1209227984
457,GRC,1979,38137.5200740819
458,GRC,1980,42436.6037804619
459,GRC,1981,45922.0921093515
460,GRC,1982,50115.8950622263
461,GRC,1983,53343.3046431704
462,GRC,1984,55569.418849155
463,GRC,1985,57801.8327747169
464,GRC,1986,58184.6676761438
465,GRC,1987,61576.9516864266
466,GRC,1988,67858.4251386523
467,GRC,1989,75273.0561305653
468,GRC,1990,80635.8419275938
469,GRC,1991,85739.9013169979
470,GRC,1992,90026.0942465032
471,GRC,1993,91562.5715450861
472,GRC,1994,95291.1597499298
473,GRC,1995,99752.4795940242
474,GRC,1996,104791.634235579
475,GRC,1997,110128.432585099
476,GRC,1998,116324.654740414
477,GRC,1999,120707.724884675
478,GRC,2000,127883.624601734
479,GRC,2001,139156.403234367
480,GRC,2002,151911.377930525
481,GRC,2003,158043.582494988
482,GRC,2004,166666.285482063
483,GRC,2005,173859.351938517
484,GRC,2006,184835.040560005
485,GRC,2007,193509.60697135
486,GRC,2008,212304.61657492
487,GRC,2009,209919.378476106
488,GRC,2010,192316.903697378
489,GRC,2011,183431.397300365
490,GRC,2012,173569.25836383
491,GRC,2013,174407.343293838
492,GRC,2014,178479.008209895
493,GRC,2015,175483.618310942
494,GRC,2016,179609.332283225
495,GRC,2017,187224.618073621
496,GRC,2018,194024.112299994
497,GRC,2019,202154.880190533
498,GRC,2020,180321.088705116
499,GRC,2021,192014.587168378
531,ISL,1970,422.784288676806
532,ISL,1971,516.356474014532
533,ISL,1972,572.785260177297
534,ISL,1973,635.803920312432
535,ISL,1974,773.989100315088
536,ISL,1975,757.950990356384
537,ISL,1976,842.878660033256
538,ISL,1977,1013.61163037808
539,ISL,1978,1181.3137169941
540,ISL,1979,1322.60353359019
541,ISL,1980,1514.58019991821
542,ISL,1981,1752.37642121088
543,ISL,1982,1941.16389586002
544,ISL,1983,1909.14626122437
545,ISL,1984,2054.87089341213
546,ISL,1985,2215.80323083696
547,ISL,1986,2420.45933635748
548,ISL,1987,2898.85535064411
549,ISL,1988,2897.91253511515
550,ISL,1989,2895.1945393465
551,ISL,1990,2907.54576081427
552,ISL,1991,3096.14305176795
553,ISL,1992,3075.94315598708
554,ISL,1993,3005.74902126927
555,ISL,1994,3156.78736922438
556,ISL,1995,3295.52507987513
557,ISL,1996,3472.68582109324
558,ISL,1997,3786.41145635147
559,ISL,1998,4116.36063219438
560,ISL,1999,4556.9840562568
561,ISL,2000,4610.84628425095
562,ISL,2001,4581.23749573537
563,ISL,2002,4624.33002010895
564,ISL,2003,4913.41261233344
565,ISL,2004,5409.76638183606
566,ISL,2005,6117.35388378087
567,ISL,2006,6610.51273853776
568,ISL,2007,7176.54651911854
569,ISL,2008,6910.45451095843
570,ISL,2009,6154.80288061973
571,ISL,2010,6116.37821924962
572,ISL,2011,6474.5556377727
573,ISL,2012,6795.88755768999
574,ISL,2013,6977.36771507707
575,ISL,2014,7266.85414769809
576,ISL,2015,7407.37442673606
577,ISL,2016,7742.63061388468
578,ISL,2017,8402.92182816017
579,ISL,2018,8994.6754296854
580,ISL,2019,9481.04890090788
581,ISL,2020,9396.12843057152
582,ISL,2021,10044.1182594102
583,IRL,1970,4495.24737677334
584,IRL,1971,4837.88406884856
585,IRL,1972,5260.53773250336
586,IRL,1973,5941.7389098007
587,IRL,1974,6668.03084879423
588,IRL,1975,7283.41556684882
589,IRL,1976,7900.38251173367
590,IRL,1977,8983.86209734952
591,IRL,1978,10484.4566445762
592,IRL,1979,11922.1028885217
593,IRL,1980,13262.6021880835
594,IRL,1981,14696.2156708125
595,IRL,1982,14417.6881797488
596,IRL,1983,15159.023718797
597,IRL,1984,16047.6760457726
598,IRL,1985,17369.998685946
599,IRL,1986,18105.1308224285
600,IRL,1987,19283.8201184579
601,IRL,1988,20936.1655308891
602,IRL,1989,23274.740843172
603,IRL,1990,24640.0435534294
604,IRL,1991,25923.4464442673
605,IRL,1992,27382.7710285927
606,IRL,1993,28880.3645793051
607,IRL,1994,30769.6465105949
608,IRL,1995,32500.3688007451
609,IRL,1996,35599.056552445
610,IRL,1997,37648.9185467574
611,IRL,1998,41747.5264901416
612,IRL,1999,45262.3041017313
613,IRL,2000,50624.0986690711
614,IRL,2001,53924.2573100371
615,IRL,2002,56471.4308186021
616,IRL,2003,60005.2627869561
617,IRL,2004,64100.6886599917
618,IRL,2005,69586.8974346064
619,IRL,2006,76218.7231214844
620,IRL,2007,83549.2285489759
621,IRL,2008,84496.8042402751
622,IRL,2009,78734.752540185
623,IRL,2010,82189.5462842382
624,IRL,2011,82381.4839226035
625,IRL,2012,82260.9558025231
626,IRL,2013,83523.4088459234
627,IRL,2014,84509.0717656141
628,IRL,2015,86756.1775627872
629,IRL,2016,93588.2168655688
630,IRL,2017,95976.4950674999
631,IRL,2018,101028.03540486
632,IRL,2019,106095.409169121
633,IRL,2020,90022.7561562144
634,IRL,2021,95768.720085291
635,ITA,1970,103578.767777584
636,ITA,1971,112056.630573698
637,ITA,1972,119715.710277826
638,ITA,1973,133471.824211365
639,ITA,1974,152003.456846061
640,ITA,1975,165183.974172729
641,ITA,1976,182055.957820432
642,ITA,1977,199678.396390601
643,ITA,1978,219173.852305316
644,ITA,1979,254777.599643687
645,ITA,1980,299122.766388845
646,ITA,1981,331161.284662756
647,ITA,1982,352972.522326795
648,ITA,1983,367327.223624106
649,ITA,1984,392450.719968661
650,ITA,1985,417785.787567439
651,ITA,1986,444224.238836364
652,ITA,1987,474592.490506541
653,ITA,1988,513300.185545157
654,ITA,1989,556980.248902057
655,ITA,1990,593322.461919659
656,ITA,1991,629583.433743105
657,ITA,1992,657517.64432666
658,ITA,1993,653408.656106939
659,ITA,1994,677257.371160749
660,ITA,1995,702076.793213476
661,ITA,1996,721675.5495192
662,ITA,1997,765181.57151139
663,ITA,1998,803312.040918558
664,ITA,1999,840524.965158934
665,ITA,2000,884932.359386186
666,ITA,2001,898822.584834317
667,ITA,2002,909509.534621498
668,ITA,2003,941651.68921396
669,ITA,2004,962352.434846302
670,ITA,2005,993980.493795931
671,ITA,2006,1047171.14667896
672,ITA,2007,1088809.19535049
673,ITA,2008,1149026.1523913
674,ITA,2009,1140419.26731797
675,ITA,2010,1195235.97756156
676,ITA,2011,1229599.47097834
677,ITA,2012,1200875.38139286
678,ITA,2013,1198436.61933781
679,ITA,2014,1195019.76101168
680,ITA,2015,1214057.06363477
681,ITA,2016,1296751.76813114
682,ITA,2017,1345518.38301343
683,ITA,2018,1398646.99580237
684,ITA,2019,1465744.76703876
685,ITA,2020,1310019.18835919
686,ITA,2021,1398279.79594137
687,JPN,1970,156407.342202126
688,JPN,1971,171985.36277404
689,JPN,1972,193800.709071502
690,JPN,1973,222196.804323574
691,JPN,1974,245115.784011928
692,JPN,1975,277224.531208972
693,JPN,1976,300929.623397638
694,JPN,1977,333457.365547467
695,JPN,1978,375386.835869209
696,JPN,1979,435262.112805242
697,JPN,1980,487281.186651499
698,JPN,1981,544323.817692259
699,JPN,1982,601342.18030335
700,JPN,1983,648099.223128084
701,JPN,1984,693758.143817594
702,JPN,1985,747397.72480104
703,JPN,1986,791735.541828062
704,JPN,1987,851851.319748371
705,JPN,1988,930686.980157967
706,JPN,1989,1019159.26124686
707,JPN,1990,1114623.35778266
708,JPN,1991,1177458.24413434
709,JPN,1992,1236348.83689082
710,JPN,1993,1280794.6285264
711,JPN,1994,1337391.19776178
712,JPN,1995,1399173.33333443
713,JPN,1996,1457080.28973864
714,JPN,1997,1490657.21854714
715,JPN,1998,1492799.68202075
716,JPN,1999,1530723.49579835
717,JPN,2000,1625386.64355236
718,JPN,2001,1691974.75620001
719,JPN,2002,1770913.03216879
720,JPN,2003,1850703.57933905
721,JPN,2004,1921707.37362659
722,JPN,2005,2041670.74298661
723,JPN,2006,2143188.05066475
724,JPN,2007,2214781.25042573
725,JPN,2008,2280590.98450456
726,JPN,2009,2280375.24860215
727,JPN,2010,2375310.49485501
728,JPN,2011,2451616.43023151
729,JPN,2012,2562204.35688796
730,JPN,2013,2774646.76036937
731,JPN,2014,2738546.02340323
732,JPN,2015,2753828.98129429
733,JPN,2016,2590953.38977301
734,JPN,2017,2604282.94587485
735,JPN,2018,2667117.89154333
736,JPN,2019,2596065.09101058
737,JPN,2020,2473046.49334019
738,JPN,2021,2491051.41873648
739,KOR,1970,14595.9893429133
740,KOR,1971,16674.9766785586
741,KOR,1972,18212.5431828591
742,KOR,1973,20934.4332904545
743,KOR,1974,24846.5948589577
744,KOR,1975,28457.2236056887
745,KOR,1976,32542.8249541638
746,KOR,1977,36584.3102274751
747,KOR,1978,42467.8054381437
748,KOR,1979,50278.9176511347
749,KOR,1980,55691.376359311
750,KOR,1981,63968.377157514
751,KOR,1982,72612.3286425786
752,KOR,1983,82707.3970310125
753,KOR,1984,92444.3126968222
754,KOR,1985,102657.822603672
755,KOR,1986,114687.424914618
756,KOR,1987,128380.805875528
757,KOR,1988,145913.056376866
758,KOR,1989,168757.137220815
759,KOR,1990,193876.977349464
760,KOR,1991,218507.464801257
761,KOR,1992,239970.118942446
762,KOR,1993,263034.896853782
763,KOR,1994,293239.332143405
764,KOR,1995,331524.027902811
765,KOR,1996,364834.795811064
766,KOR,1997,386854.345528243
767,KOR,1998,343443.670874183
768,KOR,1999,390426.753063446
769,KOR,2000,430696.990018255
770,KOR,2001,464783.029935409
771,KOR,2002,505053.336992833
772,KOR,2003,513942.806959747
773,KOR,2004,528803.68007977
774,KOR,2005,569627.655949036
775,KOR,2006,611440.787655302
776,KOR,2007,660265.793750084
777,KOR,2008,687407.686663204
778,KOR,2009,691069.937860981
779,KOR,2010,734337.908981659
780,KOR,2011,779717.236047428
781,KOR,2012,806957.100361546
782,KOR,2013,776381.144025086
783,KOR,2014,784575.074732955
784,KOR,2015,838625.548298597
785,KOR,2016,863190.932298729
786,KOR,2017,879764.075931436
787,KOR,2018,929837.843738371
788,KOR,2019,940665.998751057
789,KOR,2020,916764.252800209
790,KOR,2021,960309.079946199
791,LUX,1970,879.016840601616
792,LUX,1971,967.842888883356
793,LUX,1972,1049.34943123205
794,LUX,1973,1169.50185717988
795,LUX,1974,1349.35155807017
796,LUX,1975,1538.93001090259
797,LUX,1976,1674.31603414412
798,LUX,1977,1823.97607556799
799,LUX,1978,2008.43491551905
800,LUX,1979,2264.10649090636
801,LUX,1980,2578.44962723935
802,LUX,1981,2858.30557244122
803,LUX,1982,3028.96114413004
804,LUX,1983,3173.35272148299
805,LUX,1984,3340.81105788269
806,LUX,1985,3550.67774650317
807,LUX,1986,3746.41758253125
808,LUX,1987,4038.87481708235
809,LUX,1988,4447.43406191168
810,LUX,1989,4865.9923180168
811,LUX,1990,5271.52568834983
812,LUX,1991,5830.42717334785
813,LUX,1992,5846.40043540428
814,LUX,1993,6115.11909471154
815,LUX,1994,6495.16230974644
816,LUX,1995,6756.54807658601
817,LUX,1996,7113.12748113312
818,LUX,1997,7554.33365549821
819,LUX,1998,8169.01360957564
820,LUX,1999,8925.25799739911
821,LUX,2000,9747.79053906485
822,LUX,2001,10175.6975382102
823,LUX,2002,11004.6847509194
824,LUX,2003,11531.794138845
825,LUX,2004,11698.4460108289
826,LUX,2005,12052.7619597859
827,LUX,2006,13070.0809259606
828,LUX,2007,13351.3540976743
829,LUX,2008,14261.4563235549
830,LUX,2009,14295.8114884128
831,LUX,2010,14911.9515166475
832,LUX,2011,15742.980934693
833,LUX,2012,16378.8086811326
834,LUX,2013,16931.794295135
835,LUX,2014,17412.7441809443
836,LUX,2015,18029.270637263
837,LUX,2016,19035.9132340132
838,LUX,2017,19985.870857485
839,LUX,2018,21549.4156657188
840,LUX,2019,22049.0508149692
841,LUX,2020,19813.2041800094
842,LUX,2021,21896.9456803511
843,MEX,1970,62391.0306050812
844,MEX,1971,68441.2201425511
845,MEX,1972,75553.3445687519
846,MEX,1973,84900.7902268561
847,MEX,1974,98574.9632777698
848,MEX,1975,112892.610015846
849,MEX,1976,124490.627031778
850,MEX,1977,135294.796868247
851,MEX,1978,156500.876233181
852,MEX,1979,185475.251083371
853,MEX,1980,220939.980439673
854,MEX,1981,258481.492626969
855,MEX,1982,266095.056753792
856,MEX,1983,262547.005458661
857,MEX,1984,281337.100860586
858,MEX,1985,301519.481147073
859,MEX,1986,299348.992592641
860,MEX,1987,308162.516803625
861,MEX,1988,326012.926134064
862,MEX,1989,365030.485005029
863,MEX,1990,405552.80297027
864,MEX,1991,438721.148696536
865,MEX,1992,471490.392145025
866,MEX,1993,450724.129938236
867,MEX,1994,484525.489144714
868,MEX,1995,465648.06070278
869,MEX,1996,497164.513861988
870,MEX,1997,543658.916409171
871,MEX,1998,583127.56738073
872,MEX,1999,620220.940809428
873,MEX,2000,673625.806480314
874,MEX,2001,704353.983906616
875,MEX,2002,717590.328006746
876,MEX,2003,752444.123139739
877,MEX,2004,807914.08600354
878,MEX,2005,858050.260069896
879,MEX,2006,923827.005160216
880,MEX,2007,971309.497073352
881,MEX,2008,1013502.73381897
882,MEX,2009,949412.789192873
883,MEX,2010,1001125.78440906
884,MEX,2011,1063092.80228766
885,MEX,2012,1109991.28961648
886,MEX,2013,1178453.14149593
887,MEX,2014,1231101.26282605
888,MEX,2015,1287779.30099069
889,MEX,2016,1394196.43736604
890,MEX,2017,1411418.05730612
891,MEX,2018,1472095.78086797
892,MEX,2019,1453229.25161411
893,MEX,2020,1283972.15681944
894,MEX,2021,1423051.96364838
895,NLD,1970,30708.9131961306
896,NLD,1971,33023.1464289416
897,NLD,1972,35037.5239799529
898,NLD,1973,38628.1474420478
899,NLD,1974,44012.3355685575
900,NLD,1975,49114.4912036831
901,NLD,1976,54670.2784720936
902,NLD,1977,60627.3548940609
903,NLD,1978,67834.7065832288
904,NLD,1979,74803.8876079883
905,NLD,1980,82790.5433659651
906,NLD,1981,88055.3621751616
907,NLD,1982,91602.5986664955
